epoch = 1        train loss = 0.765        train acc = 0.540        test acc = 0.546
epoch = 2        train loss = 0.699        train acc = 0.556        test acc = 0.565
epoch = 3        train loss = 0.690        train acc = 0.566        test acc = 0.605
epoch = 4        train loss = 0.688        train acc = 0.570        test acc = 0.590
epoch = 5        train loss = 0.681        train acc = 0.589        test acc = 0.620
epoch = 6        train loss = 0.673        train acc = 0.589        test acc = 0.604
epoch = 7        train loss = 0.671        train acc = 0.600        test acc = 0.594
epoch = 8        train loss = 0.664        train acc = 0.605        test acc = 0.615
epoch = 9        train loss = 0.665        train acc = 0.607        test acc = 0.584
epoch = 10        train loss = 0.667        train acc = 0.598        test acc = 0.564
epoch = 11        train loss = 0.663        train acc = 0.614        test acc = 0.624
epoch = 12        train loss = 0.656        train acc = 0.614        test acc = 0.654
epoch = 13        train loss = 0.651        train acc = 0.621        test acc = 0.638
epoch = 14        train loss = 0.646        train acc = 0.628        test acc = 0.623
epoch = 15        train loss = 0.644        train acc = 0.632        test acc = 0.653
epoch = 16        train loss = 0.640        train acc = 0.635        test acc = 0.659
epoch = 17        train loss = 0.642        train acc = 0.625        test acc = 0.658
epoch = 18        train loss = 0.640        train acc = 0.638        test acc = 0.660
epoch = 19        train loss = 0.638        train acc = 0.634        test acc = 0.662
epoch = 20        train loss = 0.633        train acc = 0.646        test acc = 0.670
epoch = 21        train loss = 0.635        train acc = 0.642        test acc = 0.661
epoch = 22        train loss = 0.632        train acc = 0.649        test acc = 0.673
epoch = 23        train loss = 0.630        train acc = 0.651        test acc = 0.660
epoch = 24        train loss = 0.632        train acc = 0.648        test acc = 0.670
epoch = 25        train loss = 0.626        train acc = 0.649        test acc = 0.681
epoch = 26        train loss = 0.626        train acc = 0.648        test acc = 0.680
epoch = 27        train loss = 0.620        train acc = 0.659        test acc = 0.661
epoch = 28        train loss = 0.618        train acc = 0.658        test acc = 0.675
epoch = 29        train loss = 0.616        train acc = 0.663        test acc = 0.660
epoch = 30        train loss = 0.617        train acc = 0.659        test acc = 0.684
epoch = 31        train loss = 0.612        train acc = 0.667        test acc = 0.711
epoch = 32        train loss = 0.609        train acc = 0.673        test acc = 0.689
epoch = 33        train loss = 0.611        train acc = 0.669        test acc = 0.670
epoch = 34        train loss = 0.610        train acc = 0.673        test acc = 0.680
epoch = 35        train loss = 0.605        train acc = 0.669        test acc = 0.683
epoch = 36        train loss = 0.608        train acc = 0.670        test acc = 0.689
epoch = 37        train loss = 0.608        train acc = 0.667        test acc = 0.662
epoch = 38        train loss = 0.604        train acc = 0.674        test acc = 0.695
epoch = 39        train loss = 0.600        train acc = 0.674        test acc = 0.697
epoch = 40        train loss = 0.597        train acc = 0.675        test acc = 0.701
epoch = 41        train loss = 0.599        train acc = 0.682        test acc = 0.698
epoch = 42        train loss = 0.596        train acc = 0.679        test acc = 0.696
epoch = 43        train loss = 0.590        train acc = 0.683        test acc = 0.697
epoch = 44        train loss = 0.584        train acc = 0.689        test acc = 0.705
epoch = 45        train loss = 0.587        train acc = 0.686        test acc = 0.698
epoch = 46        train loss = 0.581        train acc = 0.696        test acc = 0.702
epoch = 47        train loss = 0.586        train acc = 0.693        test acc = 0.705
epoch = 48        train loss = 0.586        train acc = 0.686        test acc = 0.701
epoch = 49        train loss = 0.579        train acc = 0.699        test acc = 0.709
epoch = 50        train loss = 0.581        train acc = 0.698        test acc = 0.705
epoch = 51        train loss = 0.578        train acc = 0.699        test acc = 0.712
epoch = 52        train loss = 0.577        train acc = 0.698        test acc = 0.716
epoch = 53        train loss = 0.581        train acc = 0.698        test acc = 0.709
epoch = 54        train loss = 0.574        train acc = 0.701        test acc = 0.719
epoch = 55        train loss = 0.574        train acc = 0.697        test acc = 0.710
epoch = 56        train loss = 0.569        train acc = 0.705        test acc = 0.707
epoch = 57        train loss = 0.569        train acc = 0.704        test acc = 0.719
epoch = 58        train loss = 0.566        train acc = 0.705        test acc = 0.714
epoch = 59        train loss = 0.568        train acc = 0.705        test acc = 0.716
epoch = 60        train loss = 0.563        train acc = 0.712        test acc = 0.716
epoch = 61        train loss = 0.563        train acc = 0.709        test acc = 0.714
epoch = 62        train loss = 0.562        train acc = 0.710        test acc = 0.711
epoch = 63        train loss = 0.558        train acc = 0.713        test acc = 0.724
epoch = 64        train loss = 0.560        train acc = 0.713        test acc = 0.718
epoch = 65        train loss = 0.557        train acc = 0.715        test acc = 0.728
epoch = 66        train loss = 0.552        train acc = 0.718        test acc = 0.712
epoch = 67        train loss = 0.552        train acc = 0.717        test acc = 0.715
epoch = 68        train loss = 0.552        train acc = 0.717        test acc = 0.713
epoch = 69        train loss = 0.542        train acc = 0.724        test acc = 0.721
epoch = 70        train loss = 0.547        train acc = 0.723        test acc = 0.717
epoch = 71        train loss = 0.544        train acc = 0.729        test acc = 0.724
epoch = 72        train loss = 0.546        train acc = 0.716        test acc = 0.721
epoch = 73        train loss = 0.540        train acc = 0.727        test acc = 0.728
epoch = 74        train loss = 0.539        train acc = 0.725        test acc = 0.707
epoch = 75        train loss = 0.539        train acc = 0.727        test acc = 0.724
epoch = 76        train loss = 0.541        train acc = 0.725        test acc = 0.734
epoch = 77        train loss = 0.540        train acc = 0.727        test acc = 0.700
epoch = 78        train loss = 0.532        train acc = 0.736        test acc = 0.726
epoch = 79        train loss = 0.526        train acc = 0.734        test acc = 0.728
epoch = 80        train loss = 0.531        train acc = 0.733        test acc = 0.725
epoch = 81        train loss = 0.526        train acc = 0.741        test acc = 0.738
epoch = 82        train loss = 0.518        train acc = 0.744        test acc = 0.722
epoch = 83        train loss = 0.529        train acc = 0.729        test acc = 0.733
epoch = 84        train loss = 0.531        train acc = 0.730        test acc = 0.719
epoch = 85        train loss = 0.519        train acc = 0.749        test acc = 0.731
epoch = 86        train loss = 0.514        train acc = 0.745        test acc = 0.730
epoch = 87        train loss = 0.513        train acc = 0.750        test acc = 0.732
epoch = 88        train loss = 0.512        train acc = 0.751        test acc = 0.732
epoch = 89        train loss = 0.511        train acc = 0.744        test acc = 0.724
epoch = 90        train loss = 0.510        train acc = 0.750        test acc = 0.743
epoch = 91        train loss = 0.511        train acc = 0.745        test acc = 0.730
epoch = 92        train loss = 0.508        train acc = 0.751        test acc = 0.731
epoch = 93        train loss = 0.507        train acc = 0.748        test acc = 0.724
epoch = 94        train loss = 0.503        train acc = 0.754        test acc = 0.738
epoch = 95        train loss = 0.505        train acc = 0.751        test acc = 0.733
epoch = 96        train loss = 0.503        train acc = 0.752        test acc = 0.738
epoch = 97        train loss = 0.503        train acc = 0.749        test acc = 0.727
epoch = 98        train loss = 0.499        train acc = 0.752        test acc = 0.739
